time,open,high,low,close,volume
2026-06-22 09:30:00,100,101,99,100.5,1000
2026-06-22 09:31:00,100.5,101.5,100,101,1000
2026-06-22 09:32:00,101,102,100.5,101.5,1000
2026-06-22 09:33:00,101.5,102.5,101,102,1000
2026-06-22 09:34:00,102,103,101.5,102.5,1000
2026-06-22 09:35:00,102.5,103.5,102,103,1000
2026-06-22 09:36:00,103,104,102.5,103.5,1000
2026-06-22 09:37:00,103.5,104.5,103,104,1000
2026-06-22 09:38:00,104,104.2,103.2,103.6,1000
2026-06-22 09:39:00,103.6,103.8,102.8,103.2,1000
2026-06-22 09:40:00,103.2,103.4,102.4,102.8,1000
2026-06-22 09:41:00,102.8,103,102,102.4,1000
2026-06-22 09:42:00,102.4,102.6,101.6,102,1000
2026-06-22 09:43:00,102,102.2,101.2,101.6,1000
2026-06-22 09:44:00,101.6,101.8,100.8,101.2,1000
2026-06-22 09:45:00,101.2,101.4,100.4,100.8,1000
2026-06-22 09:46:00,100.8,103.7,100.4,103.2,1000
2026-06-22 09:47:00,103.2,103.8,102.7,103.4,1000
2026-06-22 09:48:00,103.4,104,103,103.8,1000
2026-06-22 09:49:00,103.8,104.5,103.5,104.2,1000
