time,open,high,low,close,volume
2026-06-22 09:30:00,110.05,111.0,109.0,110.0,1000
2026-06-22 09:31:00,110.02,110.97,108.97,109.97,1000
2026-06-22 09:32:00,109.99,110.94,108.94,109.94,1000
2026-06-22 09:33:00,109.96,110.91,108.91,109.91,1000
2026-06-22 09:34:00,109.93,110.88,108.88,109.88,1000
2026-06-22 09:35:00,109.9,110.85,108.85,109.85,1000
2026-06-22 09:36:00,109.87,110.82,108.82,109.82,1000
2026-06-22 09:37:00,109.84,110.79,108.79,109.79,1000
2026-06-22 09:38:00,109.82,110.77,108.77,109.77,1000
2026-06-22 09:39:00,109.79,110.74,108.74,109.74,1000
2026-06-22 09:40:00,109.76,110.71,108.71,109.71,1000
2026-06-22 09:41:00,109.73,110.68,108.68,109.68,1000
2026-06-22 09:42:00,109.7,110.65,108.65,109.65,1000
2026-06-22 09:43:00,109.67,110.62,108.62,109.62,1000
2026-06-22 09:44:00,109.64,110.59,108.59,109.59,1000
2026-06-22 09:45:00,109.61,110.56,108.56,109.56,1000
2026-06-22 09:46:00,109.58,110.53,108.53,109.53,1000
2026-06-22 09:47:00,109.55,110.5,108.5,109.5,1000
2026-06-22 09:48:00,109.52,110.47,108.47,109.47,1000
2026-06-22 09:49:00,109.49,110.44,108.44,109.44,1000
2026-06-22 09:50:00,109.46,110.41,108.41,109.41,1000
2026-06-22 09:51:00,109.43,110.38,108.38,109.38,1000
2026-06-22 09:52:00,109.41,110.36,108.36,109.36,1000
2026-06-22 09:53:00,109.38,110.33,108.33,109.33,1000
2026-06-22 09:54:00,109.35,110.3,108.3,109.3,1000
2026-06-22 09:55:00,109.32,110.27,108.27,109.27,1000
2026-06-22 09:56:00,109.29,110.24,108.24,109.24,1000
2026-06-22 09:57:00,109.26,110.21,108.21,109.21,1000
2026-06-22 09:58:00,109.23,110.18,108.18,109.18,1000
2026-06-22 09:59:00,109.2,110.15,108.15,109.15,1000
2026-06-22 10:00:00,109.17,110.12,108.12,109.12,1000
2026-06-22 10:01:00,109.14,110.09,108.09,109.09,1000
2026-06-22 10:02:00,109.11,110.06,108.06,109.06,1000
2026-06-22 10:03:00,109.08,110.03,108.03,109.03,1000
2026-06-22 10:04:00,109.05,110.0,108.0,109.0,1000
2026-06-22 10:05:00,109.02,109.97,107.97,108.97,1000
2026-06-22 10:06:00,109.0,109.95,107.95,108.95,1000
2026-06-22 10:07:00,108.97,109.92,107.92,108.92,1000
2026-06-22 10:08:00,108.94,109.89,107.89,108.89,1000
2026-06-22 10:09:00,108.91,109.86,107.86,108.86,1000
2026-06-22 10:10:00,108.88,109.83,107.83,108.83,1000
2026-06-22 10:11:00,108.85,109.8,107.8,108.8,1000
2026-06-22 10:12:00,108.82,109.77,107.77,108.77,1000
2026-06-22 10:13:00,108.79,109.74,107.74,108.74,1000
2026-06-22 10:14:00,108.76,109.71,107.71,108.71,1000
2026-06-22 10:15:00,108.73,109.68,107.68,108.68,1000
2026-06-22 10:16:00,108.7,109.65,107.65,108.65,1000
2026-06-22 10:17:00,108.67,109.62,107.62,108.62,1000
2026-06-22 10:18:00,108.64,109.59,107.59,108.59,1000
2026-06-22 10:19:00,108.61,109.56,107.56,108.56,1000
2026-06-22 10:20:00,108.59,109.54,107.54,108.54,1000
2026-06-22 10:21:00,108.56,109.51,107.51,108.51,1000
2026-06-22 10:22:00,108.53,109.48,107.48,108.48,1000
2026-06-22 10:23:00,108.5,109.45,107.45,108.45,1000
2026-06-22 10:24:00,108.47,109.42,107.42,108.42,1000
2026-06-22 10:25:00,108.44,109.39,107.39,108.39,1000
2026-06-22 10:26:00,108.41,109.36,107.36,108.36,1000
2026-06-22 10:27:00,108.38,109.33,107.33,108.33,1000
2026-06-22 10:28:00,108.35,109.3,107.3,108.3,1000
2026-06-22 10:29:00,108.32,109.27,107.27,108.27,1000
2026-06-22 10:30:00,108.29,109.24,107.24,108.24,1000
2026-06-22 10:31:00,108.26,109.21,107.21,108.21,1000
2026-06-22 10:32:00,108.23,109.18,107.18,108.18,1000
2026-06-22 10:33:00,108.2,109.15,107.15,108.15,1000
2026-06-22 10:34:00,108.18,109.13,107.13,108.13,1000
2026-06-22 10:35:00,108.15,109.1,107.1,108.1,1000
2026-06-22 10:36:00,108.12,109.07,107.07,108.07,1000
2026-06-22 10:37:00,108.09,109.04,107.04,108.04,1000
2026-06-22 10:38:00,108.06,109.01,107.01,108.01,1000
2026-06-22 10:39:00,108.03,108.98,106.98,107.98,1000
2026-06-22 10:40:00,108.0,108.95,106.95,107.95,1000
2026-06-22 10:41:00,107.97,108.92,106.92,107.92,1000
2026-06-22 10:42:00,107.94,108.89,106.89,107.89,1000
2026-06-22 10:43:00,107.91,108.86,106.86,107.86,1000
2026-06-22 10:44:00,107.88,108.83,106.83,107.83,1000
2026-06-22 10:45:00,107.85,108.8,106.8,107.8,1000
2026-06-22 10:46:00,107.82,108.77,106.77,107.77,1000
2026-06-22 10:47:00,107.79,108.74,106.74,107.74,1000
2026-06-22 10:48:00,107.77,108.72,106.72,107.72,1000
2026-06-22 10:49:00,107.74,108.69,106.69,107.69,1000
2026-06-22 10:50:00,107.71,108.66,106.66,107.66,1000
2026-06-22 10:51:00,107.68,108.63,106.63,107.63,1000
2026-06-22 10:52:00,107.65,108.6,106.6,107.6,1000
2026-06-22 10:53:00,107.62,108.57,106.57,107.57,1000
2026-06-22 10:54:00,107.59,108.54,106.54,107.54,1000
2026-06-22 10:55:00,107.56,108.51,106.51,107.51,1000
2026-06-22 10:56:00,107.53,108.48,106.48,107.48,1000
2026-06-22 10:57:00,107.5,108.45,106.45,107.45,1000
2026-06-22 10:58:00,107.47,108.42,106.42,107.42,1000
2026-06-22 10:59:00,107.44,108.39,106.39,107.39,1000
2026-06-22 11:00:00,107.41,108.36,106.36,107.36,1000
2026-06-22 11:01:00,107.38,108.33,106.33,107.33,1000
2026-06-22 11:02:00,107.36,108.31,106.31,107.31,1000
2026-06-22 11:03:00,107.33,108.28,106.28,107.28,1000
2026-06-22 11:04:00,107.3,108.25,106.25,107.25,1000
2026-06-22 11:05:00,107.27,108.22,106.22,107.22,1000
2026-06-22 11:06:00,107.24,108.19,106.19,107.19,1000
2026-06-22 11:07:00,107.21,108.16,106.16,107.16,1000
2026-06-22 11:08:00,107.18,108.13,106.13,107.13,1000
2026-06-22 11:09:00,107.15,108.1,106.1,107.1,1000
2026-06-22 11:10:00,107.12,108.07,106.07,107.07,1000
2026-06-22 11:11:00,107.09,108.04,106.04,107.04,1000
2026-06-22 11:12:00,107.06,108.01,106.01,107.01,1000
2026-06-22 11:13:00,107.03,107.98,105.98,106.98,1000
2026-06-22 11:14:00,107.0,107.95,105.95,106.95,1000
2026-06-22 11:15:00,106.97,107.92,105.92,106.92,1000
2026-06-22 11:16:00,106.95,107.9,105.9,106.9,1000
2026-06-22 11:17:00,106.92,107.87,105.87,106.87,1000
2026-06-22 11:18:00,106.89,107.84,105.84,106.84,1000
2026-06-22 11:19:00,106.86,107.81,105.81,106.81,1000
2026-06-22 11:20:00,106.83,107.78,105.78,106.78,1000
2026-06-22 11:21:00,106.8,107.75,105.75,106.75,1000
2026-06-22 11:22:00,106.77,107.72,105.72,106.72,1000
2026-06-22 11:23:00,106.74,107.69,105.69,106.69,1000
2026-06-22 11:24:00,106.71,107.66,105.66,106.66,1000
2026-06-22 11:25:00,106.68,107.63,105.63,106.63,1000
2026-06-22 11:26:00,106.65,107.6,105.6,106.6,1000
2026-06-22 11:27:00,106.62,107.57,105.57,106.57,1000
2026-06-22 11:28:00,106.59,107.54,105.54,106.54,1000
2026-06-22 11:29:00,106.56,107.51,105.51,106.51,1000
2026-06-22 11:30:00,106.54,107.49,105.49,106.49,1000
2026-06-22 11:31:00,106.51,107.46,105.46,106.46,1000
2026-06-22 11:32:00,106.48,107.43,105.43,106.43,1000
2026-06-22 11:33:00,106.45,107.4,105.4,106.4,1000
2026-06-22 11:34:00,106.42,107.37,105.37,106.37,1000
2026-06-22 11:35:00,106.39,107.34,105.34,106.34,1000
2026-06-22 11:36:00,106.36,107.31,105.31,106.31,1000
2026-06-22 11:37:00,106.33,107.28,105.28,106.28,1000
2026-06-22 11:38:00,106.3,107.25,105.25,106.25,1000
2026-06-22 11:39:00,106.27,107.22,105.22,106.22,1000
2026-06-22 11:40:00,106.24,107.19,105.19,106.19,1000
2026-06-22 11:41:00,106.21,107.16,105.16,106.16,1000
2026-06-22 11:42:00,106.18,107.13,105.13,106.13,1000
2026-06-22 11:43:00,106.15,107.1,105.1,106.1,1000
2026-06-22 11:44:00,106.13,107.08,105.08,106.08,1000
2026-06-22 11:45:00,106.1,107.05,105.05,106.05,1000
2026-06-22 11:46:00,106.07,107.02,105.02,106.02,1000
2026-06-22 11:47:00,106.04,106.99,104.99,105.99,1000
2026-06-22 11:48:00,106.01,106.96,104.96,105.96,1000
2026-06-22 11:49:00,105.98,106.93,104.93,105.93,1000
2026-06-22 11:50:00,105.95,106.9,104.9,105.9,1000
2026-06-22 11:51:00,105.92,106.87,104.87,105.87,1000
2026-06-22 11:52:00,105.89,106.84,104.84,105.84,1000
2026-06-22 11:53:00,105.86,106.81,104.81,105.81,1000
2026-06-22 11:54:00,105.83,106.78,104.78,105.78,1000
2026-06-22 11:55:00,105.8,106.75,104.75,105.75,1000
2026-06-22 11:56:00,105.77,106.72,104.72,105.72,1000
2026-06-22 11:57:00,105.74,106.69,104.69,105.69,1000
2026-06-22 11:58:00,105.72,106.67,104.67,105.67,1000
2026-06-22 11:59:00,105.69,106.64,104.64,105.64,1000
2026-06-22 12:00:00,105.66,106.61,104.61,105.61,1000
2026-06-22 12:01:00,105.63,106.58,104.58,105.58,1000
2026-06-22 12:02:00,105.6,106.55,104.55,105.55,1000
2026-06-22 12:03:00,105.57,106.52,104.52,105.52,1000
2026-06-22 12:04:00,105.54,106.49,104.49,105.49,1000
2026-06-22 12:05:00,105.51,106.46,104.46,105.46,1000
2026-06-22 12:06:00,105.48,106.43,104.43,105.43,1000
2026-06-22 12:07:00,105.45,106.4,104.4,105.4,1000
2026-06-22 12:08:00,105.42,106.37,104.37,105.37,1000
2026-06-22 12:09:00,105.39,106.34,104.34,105.34,1000
2026-06-22 12:10:00,105.36,106.31,104.31,105.31,1000
2026-06-22 12:11:00,105.33,106.28,104.28,105.28,1000
2026-06-22 12:12:00,105.31,106.26,104.26,105.26,1000
2026-06-22 12:13:00,105.28,106.23,104.23,105.23,1000
2026-06-22 12:14:00,105.25,106.2,104.2,105.2,1000
2026-06-22 12:15:00,105.22,106.17,104.17,105.17,1000
2026-06-22 12:16:00,105.19,106.14,104.14,105.14,1000
2026-06-22 12:17:00,105.16,106.11,104.11,105.11,1000
2026-06-22 12:18:00,105.13,106.08,104.08,105.08,1000
2026-06-22 12:19:00,105.1,106.05,104.05,105.05,1000
2026-06-22 12:20:00,105.07,106.02,104.02,105.02,1000
2026-06-22 12:21:00,105.04,105.99,103.99,104.99,1000
2026-06-22 12:22:00,105.01,105.96,103.96,104.96,1000
2026-06-22 12:23:00,104.98,105.93,103.93,104.93,1000
2026-06-22 12:24:00,104.95,105.9,103.9,104.9,1000
2026-06-22 12:25:00,104.92,105.87,103.87,104.87,1000
2026-06-22 12:26:00,104.9,105.85,103.85,104.85,1000
2026-06-22 12:27:00,104.87,105.82,103.82,104.82,1000
2026-06-22 12:28:00,104.84,105.79,103.79,104.79,1000
2026-06-22 12:29:00,104.81,105.76,103.76,104.76,1000
2026-06-22 12:30:00,104.78,105.73,103.73,104.73,1000
2026-06-22 12:31:00,104.75,105.7,103.7,104.7,1000
2026-06-22 12:32:00,104.72,105.67,103.67,104.67,1000
2026-06-22 12:33:00,104.69,105.64,103.64,104.64,1000
2026-06-22 12:34:00,104.66,105.61,103.61,104.61,1000
2026-06-22 12:35:00,104.63,105.58,103.58,104.58,1000
2026-06-22 12:36:00,104.6,105.55,103.55,104.55,1000
2026-06-22 12:37:00,104.57,105.52,103.52,104.52,1000
2026-06-22 12:38:00,104.54,105.49,103.49,104.49,1000
2026-06-22 12:39:00,104.51,105.46,103.46,104.46,1000
2026-06-22 12:40:00,104.49,105.44,103.44,104.44,1000
2026-06-22 12:41:00,104.46,105.41,103.41,104.41,1000
2026-06-22 12:42:00,104.43,105.38,103.38,104.38,1000
2026-06-22 12:43:00,104.4,105.35,103.35,104.35,1000
2026-06-22 12:44:00,104.37,105.32,103.32,104.32,1000
2026-06-22 12:45:00,104.34,105.29,103.29,104.29,1000
2026-06-22 12:46:00,104.31,105.26,103.26,104.26,1000
2026-06-22 12:47:00,104.28,105.23,103.23,104.23,1000
